name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,l2/l1,r1,r2,R2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error, L1,L1error,L2,L2error
TIC 103656297,5886,0.28778,0.00011,75.09613,0.23602,0.06983,0.00197,0.17836,0.04131,1.04108,0.00984,0.65893,0.06937,77.63941,10.37733,-326.18353,4.63696,11.81571,1.69432,0.10953,0.6113,0.18984,0.9919,2.11288,0.06285,1.61,0.57614,0.11243,0.04023,1.32378,0.11078,0.4111,0.0344,3.57044,0.86124,0.39107,0.09433
TIC 10393493,6150,0.36034,0.00011,81.43011,0.55819,0.26643,0.00344,0.30824,0.02676,1.03059,0.00412,0.86218,0.12323,138.27896,40.55299,-273.69314,134.34433,10.13563,8.58542,0.34517,0.51431,0.28939,0.9323,2.52499,0.06792,1.70051,0.25159,0.45307,0.06703,1.29278,0.0928,0.72742,0.05222,1.58955,0.74928,0.54867,0.25863
TIC 114500611,7168,0.48883,0.00013,84.80563,0.42848,0.15219,0.00118,0.27905,0.01599,0.89846,0.00213,0.62222,0.02597,120.13808,16.94126,-39.53954,5.04879,8.29003,2.10797,0.13747,0.55673,0.24432,0.9973,3.2563,0.07865,1.04936,0.19932,0.1597,0.03034,1.73396,0.3139,0.76095,0.13775,6.59278,4.25753,0.90631,0.58528
TIC 11480757,7002,0.40438,9e-05,75.10164,0.12312,0.10424,0.0019,0.32936,0.03405,1.00693,0.00833,0.71067,0.11681,149.87597,32.39859,-202.92293,44.93116,6.67258,5.93785,0.14134,0.58661,0.21985,0.9921,2.77494,0.07069,1.63949,0.30391,0.1709,0.03168,1.44455,0.14339,0.54139,0.05374,6.05097,2.15735,0.85524,0.30492
TIC 115105140,6168,0.41065,8e-05,76.75739,0.73811,0.16396,0.0075,0.2553,0.06139,1.00871,0.00331,0.85629,0.0441,87.30704,54.77716,-62.48232,125.40835,10.44079,6.81506,0.20854,0.55006,0.24868,0.9978,2.81163,0.0719,0.98871,0.20833,0.16211,0.03416,1.88664,0.16799,0.85294,0.07595,5.1741,1.99417,1.07901,0.41586
TIC 115906237,5812,0.34453,0.00018,80.06349,0.48186,0.12939,0.00177,0.36811,0.03001,1.02317,0.00293,0.79176,0.11798,148.48858,17.68581,-64.98851,9.85236,15.69069,5.65947,0.18255,0.57211,0.23641,0.9812,2.43558,0.06647,1.7443,0.38044,0.2257,0.04923,1.39097,0.12174,0.57478,0.0503,3.19665,1.64675,0.58355,0.30061
TIC 116163356,6459,1.18189,0.00016,86.55794,1.38547,0.15121,0.00663,0.21889,0.06685,0.94294,0.01584,0.80797,0.06301,132.96613,7.54477,-359.20376,7.68809,27.02899,3.53115,0.1554,0.55498,0.24118,0.9981,7.19983,0.14692,2.06754,0.77505,0.31263,0.11719,3.85779,0.27543,1.6765,0.11969,45.44495,20.93362,7.06214,3.25308
TIC 123038007,7136,0.42266,9e-05,84.8714,1.63291,0.149,0.0024,0.64524,0.04804,1.00089,0.00371,0.87159,0.12862,142.97635,50.73345,-287.74486,110.41285,6.01339,6.63108,0.1998,0.57231,0.25954,0.9964,2.87957,0.07264,0.65309,0.2267,0.09731,0.03378,1.2619,0.20252,0.57226,0.09184,1.29052,1.51222,0.25785,0.30214
TIC 13070701,7211,0.41417,0.00017,77.76838,0.35283,0.10369,0.00111,0.41941,0.03201,1.00017,0.00293,0.79245,0.12424,19.73917,27.28811,-211.40324,139.42138,2.85764,3.3631,0.13984,0.58966,0.22281,0.9951,2.83207,0.07123,0.83936,0.21097,0.08703,0.02188,2.23753,0.29433,0.84548,0.11121,13.0114,15.46951,1.81951,2.16326
TIC 138256097,6547,0.46385,0.00035,78.6992,0.36965,0.23247,0.00331,0.30487,0.02398,0.9986,0.00366,0.92297,0.0669,23.30643,33.04794,-75.04088,67.86426,9.75525,9.09523,0.27541,0.52488,0.27807,0.9992,3.11617,0.07591,0.90164,0.42933,0.2096,0.09981,1.68913,0.09637,0.89486,0.05105,5.87381,1.78576,1.61771,0.49182
