name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,r1,r2,R^2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 103656297,5886,0.28778,0.00011,75.09613,0.23602,0.06983,0.00197,0.17836,0.04131,1.04108,0.00984,0.65893,0.06937,77.63941,10.37733,-326.18353,4.63696,11.81571,1.69432,0.6113,0.18984,0.9919,2.13903,0.0548,1.45632,0.10799,0.1017,0.00754,1.33713,0.01819,0.41525,0.00565,1.97573,0.01697,0.21593,0.00101
TIC 10393493,6150,0.36034,0.00011,81.43011,0.55819,0.26643,0.00344,0.30824,0.02676,1.03059,0.00412,0.86218,0.12323,138.27896,40.55299,-273.69314,134.34433,10.13563,8.58542,0.51431,0.28939,0.9323,2.53786,0.06648,1.50418,0.07859,0.40076,0.02094,1.33291,0.03244,0.75,0.01826,2.43933,0.09631,0.9147,0.01639
TIC 114500611,7168,0.48883,0.00013,84.80563,0.42848,0.15219,0.00118,0.27905,0.01599,0.89846,0.00213,0.62222,0.02597,120.13808,16.94126,-39.53954,5.04879,8.29003,2.10797,0.55673,0.24432,0.9973,3.25145,0.06502,2.12157,0.20801,0.32288,0.03166,1.77076,0.01639,0.77709,0.00719,7.20842,0.07139,0.88323,0.02166
TIC 11480757,7002,0.40438,9.00E-05,75.10164,0.12312,0.10424,0.0019,0.32936,0.03405,1.00693,0.00833,0.71067,0.11681,149.87597,32.39859,-202.92293,44.93116,6.67258,5.93785,0.58661,0.21985,0.9921,2.75615,0.03643,1.5204,0.04702,0.15849,0.0049,1.62894,0.0062,0.6105,0.00232,5.69239,0.0173,0.81389,0.00471
TIC 115105140,6168,0.41065,8.00E-05,76.75739,0.73811,0.16396,0.0075,0.2553,0.06139,1.00871,0.00331,0.85629,0.0441,87.30704,54.77716,-62.48232,125.40835,10.44079,6.81506,0.55006,0.24868,0.9978,2.79444,0.07153,1.55907,0.13925,0.25563,0.02283,1.48437,0.01099,0.67108,0.00497,2.95765,0.07935,0.57421,0.01067
TIC 115906237,5812,0.34453,0.00018,80.06349,0.48186,0.12939,0.00177,0.36811,0.03001,1.02317,0.00293,0.79176,0.11798,148.48858,17.68581,-64.98851,9.85236,15.69069,5.65947,0.57211,0.23641,0.9812,2.45636,0.05684,1.53548,0.06422,0.19868,0.00831,1.38674,0.0145,0.57304,0.00599,1.84523,0.02949,0.35294,0.0098
TIC 116163356,6459,1.18189,0.00016,86.55794,1.38547,0.15121,0.00663,0.21889,0.06685,0.94294,0.01584,0.80797,0.06301,132.96613,7.54477,-359.20376,7.68809,27.02899,3.53115,0.55498,0.24118,0.9981,7.04071,0.14499,2.76619,0.21727,0.41828,0.03285,3.94315,0.03544,1.71359,0.0154,22.96373,0.33454,3.64492,0.03614
TIC 123038007,7136,0.42266,9.00E-05,84.8714,1.63291,0.149,0.0024,0.64524,0.04804,1.00089,0.00371,0.87159,0.12862,142.97635,50.73345,-287.74486,110.41285,6.01339,6.63108,0.57231,0.25954,0.9964,2.88892,0.03698,1.54185,0.02949,0.22974,0.00439,1.59416,0.03162,0.72294,0.01434,5.86794,0.03942,1.10808,0.06491
TIC 13070701,7211,0.41417,0.00017,77.76838,0.35283,0.10369,0.00111,0.41941,0.03201,1.00017,0.00293,0.79245,0.12424,19.73917,27.28811,-211.40324,139.42138,2.85764,3.3631,0.58966,0.22281,0.9951,2.82168,0.08796,1.50129,0.04003,0.15567,0.00415,1.55551,0.0386,0.58777,0.01458,4.96802,0.21331,0.9712,0.0522
TIC 138256097,6547,0.46385,0.00035,78.6992,0.36965,0.23247,0.00331,0.30487,0.02398,0.9986,0.00366,0.92297,0.0669,23.30643,33.04794,-75.04088,67.86426,9.75525,9.09523,0.52488,0.27807,0.9992,3.15331,0.07446,1.42579,0.04248,0.33145,0.00988,1.73007,0.03859,0.91655,0.02044,5.33699,0.25521,1.3647,0.02301
TIC 140757590,6189,0.41844,0.00029,83.20914,0.82533,0.1824,0.00354,0.60085,0.03551,1.00628,0.00543,0.78449,0.12267,65.56701,78.71284,-48.80383,138.85984,9.98733,9.45763,0.55664,0.2741,0.9929,2.86029,0.05745,1.62357,0.04151,0.29614,0.00757,1.62006,0.03673,0.79775,0.01808,3.2079,0.06204,0.92723,0.03928
TIC 141871560,7092,0.63001,0.00018,82.36809,0.44254,0.16839,0.00129,0.6137,0.02586,0.9921,0.00577,0.90999,0.04927,45.94111,59.75348,-220.93087,14.96041,19.50701,6.33923,0.56271,0.26807,0.9909,4.03592,0.14447,1.83075,0.20656,0.30828,0.03478,2.35593,0.07836,1.12234,0.03733,11.96634,0.71861,2.5279,0.06578
