name,T1,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,R^2
TIC 103656297,5886,85.659,3.72,0.132,0.058,0.552,0.098,1.086,0.05,0.41,0.053,0.992
TIC 10393493,6150,82.984,2.177,0.288,0.023,0.361,0.054,1.033,0.006,0.052,0.048,0.932
TIC 114500611,7168,86.405,1.211,0.158,0.009,0.257,0.075,0.934,0.017,0.07,0.032,0.998
TIC 11480757,7002,79.596,2.07,0.178,0.022,0.815,0.119,1.012,0.01,0.346,0.061,0.993
TIC 115105140,6168,80.354,0.521,0.212,0.006,0.342,0.017,1.011,0.002,0.166,0.018,0.998
TIC 115906237,5812,87.461,1.791,0.17,0.006,0.498,0.052,1.024,0.004,0.181,0.022,0.981
TIC 116163356,6459,86.864,2.01,0.15,0.008,0.296,0.072,0.943,0.009,0.027,0.026,0.999
TIC 123038007,7136,86.683,1.709,0.156,0.005,0.66,0.062,1.003,0.005,0.037,0.026,0.996
TIC 13070701,7211,88.61,1.321,0.154,0.004,0.659,0.046,0.998,0.003,0.257,0.016,0.995
TIC 138256097,6547,80.232,1.205,0.257,0.019,0.342,0.04,0.997,0.003,0.064,0.046,0.999
TIC 140757590,6189,86.302,2.015,0.194,0.007,0.616,0.046,1.007,0.003,0.032,0.025,0.995
TIC 141871560,7092,88.49,1.373,0.195,0.004,0.65,0.059,0.99,0.004,0.091,0.022,0.992
TIC 142587827,6721,89.529,0.62,0.175,0.003,0.575,0.022,1.002,0.001,0.08,0.012,0.999
TIC 142625736,6277,89.035,0.764,0.261,0.004,0.43,0.027,1.015,0.008,0.003,0.003,0.988
TIC 143058907,7323,87.58,2.099,0.095,0.016,0.413,0.045,0.953,0.01,0.113,0.076,0.997
TIC 144376560,7135,87.99,1.899,0.095,0.005,0.754,0.149,1.094,0.021,0.062,0.045,0.997
TIC 14545690,5883,84.276,0.983,0.201,0.009,0.822,0.059,1.094,0.012,0.457,0.017,0.986
TIC 146520491,6484,79.039,1.177,0.182,0.013,0.467,0.055,1.001,0.003,0.2,0.044,0.997
TIC 151233402,6604,83.65,0.832,0.351,0.014,0.637,0.034,0.968,0.004,0.107,0.023,0.987
TIC 156379866,6977,81.417,2.059,0.187,0.019,0.705,0.061,1.003,0.004,0.185,0.058,0.982
TIC 157175641,6138,83.678,0.729,0.321,0.009,0.248,0.009,1.032,0.001,0.008,0.017,0.999
TIC 159102550,6974,80.652,1.227,0.254,0.026,0.177,0.051,0.951,0.008,0.083,0.064,1
TIC 164720673,6295,85.077,1.667,0.189,0.013,0.76,0.159,1.053,0.015,0.263,0.02,0.989
TIC 170676440,6907,86.287,2.409,0.269,0.019,0.515,0.28,0.821,0.026,0.052,0.039,0.997
TIC 17563811,6277,87.722,2.389,0.111,0.003,0.67,0.037,1.053,0.004,0.081,0.022,0.989
TIC 177258700,7146,84.192,1.936,0.275,0.014,0.519,0.03,0.954,0.007,0.054,0.033,0.989
TIC 193819456,5938,87.086,2.225,0.246,0.01,0.659,0.046,1.023,0.007,0.308,0.023,0.988
TIC 193823999,6591,87.643,1.456,0.233,0.006,0.287,0.029,1.029,0.006,0.039,0.019,0.998
TIC 398336271,6010,82.452,2.875,0.136,0.014,0.441,0.083,0.996,0.007,0.091,0.064,0.995
TIC 399577123,5452,86.689,3.026,0.166,0.009,0.549,0.024,1.048,0.002,0.088,0.031,0.998
TIC 400360028,6069,88.027,2.039,0.093,0.009,0.838,0.227,1.038,0.02,0.277,0.056,0.99
TIC 401925979,6928,84.777,4.404,0.245,0.02,0.503,0.146,0.934,0.028,0.249,0.06,0.989
TIC 401928563,5852,86.924,2.048,0.13,0.006,0.758,0.074,1.067,0.021,0.078,0.045,0.995
TIC 402795415,6514,87.659,8.181,0.18,0.093,0.48,0.082,0.923,0.008,0.028,0.056,0.995
TIC 406781370,6854,83.436,2.87,0.18,0.021,0.286,0.059,0.961,0.007,0.145,0.069,0.996
TIC 411451519,7035,82.254,1.081,0.235,0.012,0.319,0.016,0.984,0.002,0.058,0.028,0.998
TIC 411704509,5316,86.494,2.066,0.201,0.011,0.138,0.084,0.898,0.007,0.086,0.03,0.995
TIC 415969184,6759,82.659,0.975,0.14,0.004,0.266,0.029,0.955,0.005,0.029,0.023,1
TIC 417052182,5899,85.7,2.95,0.12,0.01,0.539,0.086,1.039,0.036,0.077,0.044,0.997
TIC 426146826,6277,80.501,2.231,0.241,0.026,0.59,0.051,1.028,0.004,0.52,0.031,0.997
TIC 428257299,4960,87.203,2.429,0.13,0.013,0.312,0.176,0.887,0.013,0.137,0.063,0.996
TIC 432128410,5734,84.635,1.111,0.192,0.014,0.091,0.07,0.896,0.009,0.073,0.042,0.994
